No,message,score,socre2
1,关于犀浦新城路灯红绿灯何时使用 您好，我想咨询犀浦新城片区、合能四季城、傲城、阳光里附近的路灯什么时候才投入使用，现在入住的人越来越多，晚上开车各个路口没有红绿灯、路灯，行人乱过马路都十分危险,5,5.5
2,北京市领导你好，外地人在北京办事慢办事难。 尊敬的北京市领导你好，京丰车管所旗下新发地二手车交易市场办事效率低，办事难，希望政府部门督促改正。6月30前在新发地交易市场办理车辆过户外迁手续，13台的工作人员没做到提前告知，登记证书日期不以办理日期为准。导致多数外迁车辆无法落户。只能另行改签落户地，当在次到新发地办理改签手续时，被主管告知需要等两个月后。等通知…,5,3.5
3,关于南铁茉莉苑小区长期得不到有效管理问题 1.南铁茉莉苑长期处于无物业状态，小区脏乱差，停车位规划少，有外部车辆停入小区造成停车困难，停车难！致使业主不能不占用消防通道停车！2.小区的天网摄像头全都被剪断线，部分路灯无用，造成小区治安差！3.小区原物业处从物业撤出时候已经被租出去用以经营美容院多年！收入进了谁的口袋！？4.小区业主因为停车难不得不上地锁保障自己的停车问题，居委会只是想着出公告拆地锁，是否想过如何解决业主停车问题，保障真正业主的利益！？5.小区现无业主委员会，无物业，小区居民毫无管理可言，公共的草地被改造成菜地！南宁曾发文说要改造老旧小区，什么时候能实现,8.5,8
4,花溪南路为什么就差这么几百米始终没办法贯通？ 仓山区华润橡树湾到泰禾红树林D区之间的花溪南路，就差那么一小段几百米，为什么要通车比登天还难？以前说是钉子户影响，现在都拆完了一堆的土，旁边的公园也快开放了，为什么路就是修不好呢？,8,9
5,公车私用 书记你好，南宁市的一些局办二层机构事业单位，还未参加公车改革，公车还在单位，已经参加了公车改革的局办领导经常拿事业单位公车私用，又享受着公车补贴，有时候还拿事业单位公车的油卡给私家车加油。造成了不好影响，请重视。,4,5
6,兵马俑观光车事故伤人事件 我是北京的游客，7月20号，孩子11岁在兵马俑秦陵景区从景区运营的电瓶车上摔伤。造成重伤颅内出血，颅骨骨折，脑挫裂伤，血肿。现在景区拒付孩子的后续治疗的费用。请求您的帮助。,2.5,3
7,购房合同更名 尊敬的胡市长，你好，我是2014年3月份一次性购买了长沙橘郡礼顿山的房产一套，现由于创业失败，亏空300多万，急需把房子卖掉，清理债务。开发商一直不配合更名，产权问题又得不到解决。看着每天的债务催款信息。求求胡市长管管，为我们这些市民主持公道和正义。,2.5,1.5
8,未来城楼下建变压器问题咨询 市长你好，我是17年在安泰未来城买的房子（29号楼）。当时在沙盘上没有标注，工作人员也没有告诵楼下回建变压器等配电设施。现在却在29号楼后边建了一个好大的大空。据说是变压器等配电设施现在的问题是1是否构成欺骗消费者（沙盘上没有标注，，销售前没有告知消费者。）2是否总该需要业主同意（我是17年买的。后者现在在建）。3是否有相关部门的审批，规划。是否的告知业主4以后有没有安全隐患。麻烦领导核实处理一下，谢谢,4,4.5
9,宝坻区饿了么平台违规经营 宝坻区数十家餐饮商户在饿了么平台非法入住多年，至今末整改，例如：怡购商业广场三楼所有商家在一年前在饿了么平台假用他人执照违法售卖食品，今年刚改到怡购美食城的一个执照。个体商家均末取得相应执照，饿了么仍继续经营，希望政府严格查处饿了么平台，饿了么为了利益容纳非法商家多年是置老百姓的食品安全于不顾,5,6
10,外地户口到巴中购房 您好，咨询一下，成都户口，打算在巴中购房，但是不清楚规划，去看了一下，巴中杨家坝江湾城楼盘感觉还不错，背面是山，前面是一条河，但是觉得离市区稍微远了一点点，不知道政府以后对那一片区有没有什么规划，发展如何，顺便再问一下江湾城的开发商是否已经取得所有合法的卖房资质，谢谢,3,4.5
